year,month,state,count,original_state_code,date,death_rate
85,1,NY,9437,36,1985-01-15,46.71493331922199
85,2,NY,8789,36,1985-02-15,43.507210866021204
85,3,NY,8480,36,1985-03-15,41.97760247398564
85,4,NY,8028,36,1985-04-15,39.74011705909867
85,5,NY,8047,36,1985-05-15,39.83417064954746
85,6,NY,7491,36,1985-06-15,37.08186558167765
85,7,NY,7935,36,1985-07-15,39.27974948479671
85,8,NY,7528,36,1985-08-15,37.265022573604234
85,9,NY,7824,36,1985-09-15,38.73027850901694
85,10,NY,8206,36,1985-10-15,40.62125069593469
85,11,NY,8036,36,1985-11-15,39.77971857086658
85,12,NY,8946,36,1985-12-15,44.28439053446646
86,1,NY,9074,36,1986-01-15,44.918014722753036
86,2,NY,8260,36,1986-02-15,40.88856090036809
86,3,NY,9206,36,1986-03-15,45.57143966692357
86,4,NY,8196,36,1986-04-15,40.571748806224804
86,5,NY,8182,36,1986-05-15,40.50244616063096
86,6,NY,7724,36,1986-06-15,38.23525961191806
86,7,NY,8073,36,1986-07-15,39.96287556279317
86,8,NY,7779,36,1986-08-15,38.50752000532245
86,9,NY,7794,36,1986-09-15,38.58177283988728
86,10,NY,8076,36,1986-10-15,39.97772612970614
86,11,NY,8374,36,1986-11-15,41.45288244306082
86,12,NY,8804,36,1986-12-15,43.581463700586035
87,1,NY,8963,36,1987-01-15,44.368543746973266
87,2,NY,7880,36,1987-02-15,39.007489091392316
87,3,NY,8974,36,1987-03-15,44.42299582565415
87,4,NY,8126,36,1987-04-15,40.225235578255585
87,5,NY,8193,36,1987-05-15,40.556898239311835
87,6,NY,7832,36,1987-06-15,38.76988002078485
87,7,NY,8259,36,1987-07-15,40.8836107113971
87,8,NY,7963,36,1987-08-15,39.4183547759844
87,9,NY,7731,36,1987-09-15,38.26991093471498
87,10,NY,8412,36,1987-10-15,41.6409896239584
87,11,NY,8199,36,1987-11-15,40.58659937313777
87,12,NY,8469,36,1987-12-15,41.923150395304766
88,1,NY,8962,36,1988-01-15,44.36359355800228
88,2,NY,8252,36,1988-02-15,40.84895938860018
88,3,NY,9150,36,1988-03-15,45.294229084548185
88,4,NY,8218,36,1988-04-15,40.68065296358656
88,5,NY,8257,36,1988-05-15,40.87371033345512
88,6,NY,7913,36,1988-06-15,39.170845327434954
88,7,NY,7981,36,1988-07-15,39.5074581774622
88,8,NY,7928,36,1988-08-15,39.245098161999785
88,9,NY,7823,36,1988-09-15,38.72532832004595
88,10,NY,8534,36,1988-10-15,42.24491267841904
88,11,NY,8073,36,1988-11-15,39.96287556279317
88,12,NY,8801,36,1988-12-15,43.566613133673066
89,1,NY,9029,36,1989-01-15,44.695256219058535
89,2,NY,8367,36,1989-02-15,41.4182311202639
89,3,NY,8742,36,1989-03-15,43.27455198438473
89,4,NY,7895,36,1989-04-15,39.081741925957154
89,5,NY,8012,36,1989-05-15,39.660914035562854
89,6,NY,7605,36,1989-06-15,37.64618712437038
89,7,NY,7910,36,1989-07-15,39.155994760521985
89,8,NY,7573,36,1989-08-15,37.487781077298735
89,9,NY,7512,36,1989-09-15,37.185819550068416
89,10,NY,8324,36,1989-10-15,41.20537299451138
89,11,NY,8073,36,1989-11-15,39.96287556279317
89,12,NY,9220,36,1989-12-15,45.64074231251741
90,1,NY,9875,36,1990-01-15,48.88311608851512
90,2,NY,8367,36,1990-02-15,41.4182311202639
90,3,NY,8314,36,1990-03-15,41.15587110480149
90,4,NY,8063,36,1990-04-15,39.913373673083285
90,5,NY,8030,36,1990-05-15,39.750017437040654
90,6,NY,7803,36,1990-06-15,38.62632454062617
90,7,NY,7825,36,1990-07-15,38.73522869798793
90,8,NY,7762,36,1990-08-15,38.42336679281563
90,9,NY,7640,36,1990-09-15,37.81944373835499
90,10,NY,8312,36,1990-10-15,41.14597072685951
90,11,NY,8127,36,1990-11-15,40.23018576722657
90,12,NY,8533,36,1990-12-15,42.239962489448054
91,1,NY,8448,36,1991-01-15,41.819196426914
91,2,NY,7881,36,1991-02-15,39.01243928036331
91,3,NY,8881,36,1991-03-15,43.962628251352186
91,4,NY,8306,36,1991-04-15,41.11626959303358
91,5,NY,8318,36,1991-05-15,41.17567186068545
91,6,NY,7837,36,1991-06-15,38.7946309656398
91,7,NY,8056,36,1991-07-15,39.87872235028636
91,8,NY,7867,36,1991-08-15,38.94313663476946
91,9,NY,7624,36,1991-09-15,37.740240714819166
91,10,NY,8406,36,1991-10-15,41.611288490132466
91,11,NY,8607,36,1991-11-15,42.60627647330123
91,12,NY,9808,36,1991-12-15,48.55145342745887
92,1,NY,9306,36,1992-01-15,46.066458564022454
92,2,NY,8094,36,1992-02-15,40.06682953118394
92,3,NY,8489,36,1992-03-15,42.02215417472455
92,4,NY,8047,36,1992-04-15,39.83417064954746
92,5,NY,8238,36,1992-05-15,40.779656743006335
92,6,NY,7684,36,1992-06-15,38.0372520530785
92,7,NY,7789,36,1992-07-15,38.557021895032335
92,8,NY,7759,36,1992-08-15,38.408516225902666
92,9,NY,7877,36,1992-09-15,38.992638524479354
92,10,NY,8358,36,1992-10-15,41.373679419525
92,11,NY,8185,36,1992-11-15,40.51729672754392
92,12,NY,8925,36,1992-12-15,44.18043656607569
93,1,NY,8753,36,1993-01-15,43.329004063065604
93,2,NY,8479,36,1993-02-15,41.972652285014654
93,3,NY,9095,36,1993-03-15,45.021968691143805
93,4,NY,8329,36,1993-04-15,41.23012393936632
93,5,NY,8505,36,1993-05-15,42.10135719826037
93,6,NY,7999,36,1993-06-15,39.59656157894
93,7,NY,8087,36,1993-07-15,40.032178208387016
93,8,NY,8025,36,1993-08-15,39.7252664921857
93,9,NY,7936,36,1993-09-15,39.2846996737677
93,10,NY,8696,36,1993-10-15,43.04684329171924
93,11,NY,8558,36,1993-11-15,42.36371721372277
93,12,NY,10052,36,1993-12-15,49.759299536380155
94,1,NY,10779,36,1994-01-15,53.35808691828907
94,2,NY,8123,36,1994-02-15,40.210385011342616
94,3,NY,8845,36,1994-03-15,43.78442144839658
94,4,NY,8647,36,1994-04-15,42.804284032140785
94,5,NY,8416,36,1994-05-15,41.660790379842354
94,6,NY,8136,36,1994-06-15,40.27473746796547
94,7,NY,7898,36,1994-07-15,39.096592492870116
94,8,NY,8256,36,1994-08-15,40.868760144484135
94,9,NY,7998,36,1994-09-15,39.59161138996901
94,10,NY,8507,36,1994-10-15,42.11125757620234
94,11,NY,8509,36,1994-11-15,42.12115795414432
94,12,NY,8953,36,1994-12-15,44.31904185726338
95,1,NY,9309,36,1995-01-15,46.081309130935416
95,2,NY,8883,36,1995-02-15,43.97252862929416
95,3,NY,9656,36,1995-03-15,47.79902470386856
95,4,NY,8691,36,1995-04-15,43.0220923468643
95,5,NY,8853,36,1995-05-15,43.82402296016449
95,6,NY,8138,36,1995-06-15,40.28463784590745
95,7,NY,8215,36,1995-07-15,40.66580239667359
95,8,NY,8458,36,1995-08-15,41.86869831662389
95,9,NY,8281,36,1995-09-15,40.99251486875885
95,10,NY,8696,36,1995-10-15,43.04684329171924
95,11,NY,8842,36,1995-11-15,43.76957088148362
95,12,NY,9569,36,1995-12-15,47.36835826339252
1996,1,NY,9559,36,1996-01-15,47.318856373682635
1996,2,NY,8788,36,1996-02-15,43.50226067705022
1996,3,NY,9469,36,1996-03-15,46.873339366293635
1996,4,NY,8853,36,1996-04-15,43.82402296016449
1996,5,NY,8432,36,1996-05-15,41.73999340337818
1996,6,NY,8143,36,1996-06-15,40.30938879076239
1996,7,NY,8181,36,1996-07-15,40.49749597165997
1996,8,NY,7870,36,1996-08-15,38.95798720168243
1996,9,NY,8052,36,1996-09-15,39.8589215944024
1996,10,NY,8685,36,1996-10-15,42.99239121303836
1996,11,NY,8782,36,1996-11-15,43.472559543224286
1996,12,NY,9985,36,1996-12-15,49.4276368753239
1997,1,NY,10722,36,1997-01-15,53.07592614694269
1997,2,NY,8291,36,1997-02-15,41.04201675846874
1997,3,NY,9130,36,1997-03-15,45.19522530512841
1997,4,NY,8815,36,1997-04-15,43.63591577926692
1997,5,NY,8834,36,1997-05-15,43.729969369715704
1997,6,NY,8221,36,1997-06-15,40.69550353049952
1997,7,NY,8367,36,1997-07-15,41.4182311202639
1997,8,NY,8134,36,1997-08-15,40.26483709002349
1997,9,NY,7887,36,1997-09-15,39.04214041418924
1997,10,NY,8614,36,1997-10-15,42.640927796098154
1997,11,NY,8759,36,1997-11-15,43.358705196891535
1997,12,NY,9310,36,1997-12-15,46.086259319906404
1998,1,NY,10518,36,1998-01-15,52.06608759686097
1998,2,NY,9278,36,1998-02-15,45.92785327283476
1998,3,NY,9371,36,1998-03-15,46.38822084713673
1998,4,NY,8443,36,1998-04-15,41.794445482059054
1998,5,NY,8356,36,1998-05-15,41.36377904158302
1998,6,NY,8225,36,1998-06-15,40.71530428638348
1998,7,NY,8163,36,1998-07-15,40.408392570182166
1998,8,NY,8208,36,1998-08-15,40.631151073876666
1998,9,NY,8067,36,1998-09-15,39.933174428967234
1998,10,NY,8805,36,1998-10-15,43.58641388955703
1998,11,NY,8812,36,1998-11-15,43.62106521235395
1998,12,NY,9268,36,1998-12-15,45.87835138312487
1999,1,NY,10262,36,1999-01-15,50.79883922028782
1999,2,NY,9413,36,1999-02-15,46.59612878391826
1999,3,NY,10724,36,1999-03-15,53.085826524884666
1999,4,NY,9223,36,1999-04-15,45.65559287943038
1999,5,NY,8729,36,1999-05-15,43.21019952776187
1999,6,NY,8077,36,1999-06-15,39.98267631867713
1999,7,NY,8472,36,1999-07-15,41.93800096221773
1999,8,NY,8117,36,1999-08-15,40.180683877516685
1999,9,NY,8149,36,1999-09-15,40.33908992458833
1999,10,NY,8821,36,1999-10-15,43.66561691309285
1999,11,NY,8673,36,1999-11-15,42.93298894538649
1999,12,NY,9575,36,1999-12-15,47.39805939721846
2000,1,NY,11010,36,2000-01-15,54.501580570587485
2000,2,NY,9198,36,2000-02-15,45.531838155155654
2000,3,NY,9207,36,2000-03-15,45.576389855894554
2000,4,NY,8532,36,2000-04-15,42.23501230047707
2000,5,NY,8553,36,2000-05-15,42.338966268867836
2000,6,NY,8225,36,2000-06-15,40.71530428638348
2000,7,NY,8405,36,2000-07-15,41.60633830116148
2000,8,NY,8385,36,2000-08-15,41.5073345217417
2000,9,NY,8362,36,2000-09-15,41.39348017540896
2000,10,NY,8951,36,2000-10-15,44.309141479321404
2000,11,NY,9001,36,2000-11-15,44.55665092787085
2000,12,NY,10082,36,2000-12-15,49.907805205509824
2001,1,NY,9998,36,2001-01-15,49.491989331946755
2001,2,NY,8906,36,2001-02-15,44.086382975626904
2001,3,NY,9878,36,2001-03-15,48.89796665542809
2001,4,NY,9065,36,2001-04-15,44.873463022014136
2001,5,NY,8948,36,2001-05-15,44.294290912408435
2001,6,NY,8757,36,2001-06-15,43.34880481894956
2001,7,NY,8599,36,2001-07-15,42.566674961533316
2001,8,NY,8481,36,2001-08-15,41.98255266295663
2001,9,NY,8274,36,2001-09-15,40.957863545961935
2001,10,NY,9015,36,2001-10-15,44.62595357346469
2001,11,NY,8744,36,2001-11-15,43.28445236232671
2001,12,NY,9130,36,2001-12-15,45.19522530512841
2002,1,NY,9764,36,2002-01-15,48.33364511273536
2002,2,NY,9383,36,2002-02-15,46.4476231147886
2002,3,NY,10391,36,2002-03-15,51.43741359754538
2002,4,NY,9219,36,2002-04-15,45.63579212354642
2002,5,NY,8821,36,2002-05-15,43.66561691309285
2002,6,NY,8397,36,2002-06-15,41.566736789393566
2002,7,NY,8619,36,2002-07-15,42.6656787409531
2002,8,NY,8613,36,2002-08-15,42.63597760712716
2002,9,NY,8406,36,2002-09-15,41.611288490132466
2002,10,NY,8979,36,2002-10-15,44.44774677050909
2002,11,NY,9200,36,2002-11-15,45.541738533097636
2002,12,NY,9725,36,2002-12-15,48.140587742866785
2003,1,NY,14531,NY,2003-01-15,71.93119593743931
2003,2,NY,13121,NY,2003-02-15,64.951429488345
2003,3,NY,13287,NY,2003-03-15,65.77316085752915
2003,4,NY,12446,NY,2003-04-15,61.61005193292752
2003,5,NY,12382,NY,2003-05-15,61.29323983878423
2003,6,NY,12362,NY,2003-06-15,61.19423605936444
2003,7,NY,12403,NY,2003-07-15,61.397193807174986
2003,8,NY,12399,NY,2003-08-15,61.37739305129104
2003,9,NY,12075,NY,2003-09-15,59.77353182469064
2003,10,NY,13072,NY,2003-10-15,64.70887022876656
2003,11,NY,12643,NY,2003-11-15,62.585239160212325
2003,12,NY,14764,NY,2003-12-15,73.08458996767972
2004,1,NY,15270,NY,2004-01-15,75.5893855870001
2004,2,NY,12637,NY,2004-02-15,62.55553802638639
2004,3,NY,12926,NY,2004-03-15,63.986142639002175
2004,4,NY,12590,NY,2004-04-15,62.32287914474991
2004,5,NY,12189,NY,2004-05-15,60.337853367383374
2004,6,NY,11894,NY,2004-06-15,58.877547620941655
2004,7,NY,12012,NY,2004-07-15,59.461669919518336
2004,8,NY,11717,NY,2004-08-15,58.00136417307663
2004,9,NY,11574,NY,2004-09-15,57.29348715022522
2004,10,NY,13048,NY,2004-10-15,64.59006569346282
2004,11,NY,12299,NY,2004-11-15,60.88237415419215
2004,12,NY,14018,NY,2004-12-15,69.39174899532202
